,t,y,v_{y},v_{x},x
171,34.6,-0.368036305,-0.076181645,0.006855122,0.471150048
172,34.8,-0.379274106,-0.070720349,0.002352998,0.473005921
173,35,-0.396324444,-0.065254883,-0.010135403,0.472091247
174,35.2,-0.40537606,-0.056273527,-0.012128104,0.468951759
175,35.4,-0.418833855,-0.075419034,-0.003138185,0.467240005
176,35.6,-0.435543673,-0.073447249,0.001397219,0.467696485
177,35.8,-0.448212755,-0.059533159,-0.013463416,0.467798893
178,36,-0.459356937,-0.070004606,-0.017245364,0.462311119
179,36.2,-0.476214597,-0.095744079,-0.003693516,0.460900747
180,36.4,-0.497654568,-0.088669197,-0.0069484,0.460833713
181,36.6,-0.511682276,-0.067413669,-0.014177663,0.458121387
182,36.8,-0.524620036,-0.07387845,-0.018559425,0.455162647
183,37,-0.541233656,-0.075631274,-0.00389306,0.450697617
184,37.2,-0.554872546,-0.063857189,0.00544149,0.453605423
185,37.4,-0.566776532,-0.061068458,-0.002710323,0.452874214
186,37.6,-0.579299929,-0.097365897,-0.009753929,0.452521294
187,37.8,-0.60572289,-0.185927925,-0.009944701,0.448972642
188,38,-0.653671099,-0.243117226,-0.008724355,0.448543414
189,38.2,-0.702969781,-0.128278947,-0.014672652,0.4454829
190,38.4,-0.704982678,0.050380231,-0.001462296,0.442674353
191,38.6,-0.682817688,0.10947042,0.009399893,0.444897982
192,38.8,-0.66119451,0.104590805,-0.005533639,0.44643431
193,39,-0.640981366,0.092077471,-0.008561155,0.442684526
194,39.2,-0.624363521,0.086789128,-0.000937067,0.443009849
195,39.4,-0.606265715,0.092496252,-0.00607485,0.442309699
196,39.6,-0.58736502,0.098283565,-0.005638154,0.440579908
197,39.8,-0.566952289,0.097840897,0.007039242,0.440054437
198,40,-0.548228661,0.102628643,0.007501809,0.443395605
199,40.2,-0.525900832,0.10476378,0.000802753,0.443055161
200,40.4,-0.50632315,0.10800955,-0.005244902,0.443716706
201,40.6,-0.482697012,0.108526304,-0.002446929,0.4409572
202,40.8,-0.462912628,0.093118678,0.003597778,0.442737935
203,41,-0.445449541,0.100026329,0.003786372,0.442396311
204,41.2,-0.422902097,0.096366589,0.023395493,0.444252484
205,41.4,-0.406902905,0.098714359,0.030622315,0.451754508
206,41.6,-0.383416353,0.1046285,0.013971823,0.45650141
207,41.8,-0.365051505,0.096540003,-0.006142421,0.457343238
208,42,-0.344800352,0.089086424,-0.001931723,0.454044441
209,42.2,-0.329416936,0.097969223,-0.000577729,0.456570548
210,42.4,-0.305612663,0.120739781,-0.005407903,0.45381335
211,42.6,-0.281121023,0.09715558,0.004178525,0.454407387
212,42.8,-0.266750431,0.084874906,0.010653295,0.45548476
213,43,-0.247171061,0.105127396,-0.004102071,0.458668705
214,43.2,-0.224699472,0.114909829,-0.014607038,0.453843932
215,43.4,-0.201207129,0.116104992,0.000252559,0.45282589
216,43.6,-0.178257475,0.089984755,0.004911841,0.453944955
217,43.8,-0.165213227,0.083181927,-0.000150922,0.454790627
218,44,-0.144984704,0.097539494,-0.007761914,0.453884586
219,44.2,-0.12619743,0.076344806,-0.015931106,0.451685861
220,44.4,-0.114446782,0.0848779,-0.023224663,0.447512144
221,44.6,-0.09224627,0.103896064,-0.021899592,0.442395995
222,44.8,-0.072888356,0.088215501,-0.016366537,0.438752308
223,45,-0.056960069,0.097088659,-0.005729148,0.435849381
224,45.2,-0.034052893,0.11473262,-0.001887533,0.436460648
225,45.4,-0.011067021,0.118811466,-0.008354497,0.435094367
226,45.6,0.013471694,0.103643386,-0.002344498,0.43311885
227,45.8,0.030390333,0.084030052,0.005712201,0.434156568
228,46,0.047083714,0.094289103,-0.000678286,0.43540373
229,46.2,0.068105974,0.101498736,0.00205733,0.433885253
230,46.4,0.087683209,0.107136761,5.23E-05,0.436226662
231,46.6,0.110960679,0.100679807,-0.000493695,0.433906186
232,46.8,0.127955132,0.078402087,0.017057293,0.436029184
233,47,0.142321514,0.079671659,0.010451038,0.440729103
